2025-01-14 19:23:27,796 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\markdown_it\parser_inline.py first seen with mtime 1726739717.1116412
2025-01-14 19:23:27,796 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\rich\markup.py first seen with mtime 1736774691.2915716
2025-01-14 19:23:27,796 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\srsly\ujson\__init__.py first seen with mtime 1736774663.9823477
2025-01-14 19:23:27,796 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\pdfplumber\structure.py first seen with mtime 1736774741.9136872
2025-01-14 19:23:27,796 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\asyncio.py first seen with mtime 1730982227.384709
2025-01-14 19:23:27,796 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\docx\oxml\document.py first seen with mtime 1736774674.2596698
2025-01-14 19:23:27,796 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\chardet\gb2312freq.py first seen with mtime 1728468987.9316537
2025-01-14 19:23:27,796 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\gzip.py first seen with mtime 1707253818.0
2025-01-14 19:23:27,796 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\colorama\__init__.py first seen with mtime 1708849614.334122
2025-01-14 19:23:27,796 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\utils\data\datapipes\map\combinatorics.py first seen with mtime 1729581801.1791086
2025-01-14 19:23:27,796 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\hashlib.py first seen with mtime 1707253818.0
2025-01-14 19:23:27,796 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_custom_op\autograd.py first seen with mtime 1729581810.4706018
2025-01-14 19:23:27,796 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\pdfminer\glyphlist.py first seen with mtime 1736774700.4653416
2025-01-14 19:23:27,800 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\spacy\ml\models\textcat.py first seen with mtime 1736881622.579495
2025-01-14 19:23:27,800 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\docx\blkcntnr.py first seen with mtime 1736774674.2367876
2025-01-14 19:23:27,800 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\srsly\ruamel_yaml\nodes.py first seen with mtime 1736774663.9440567
2025-01-14 19:23:27,801 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\utils\data\datapipes\iter\combining.py first seen with mtime 1729581801.1831133
2025-01-14 19:23:27,801 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\jinja2\filters.py first seen with mtime 1736774695.223006
2025-01-14 19:23:27,801 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\typer\core.py first seen with mtime 1736774699.827864
2025-01-14 19:23:27,802 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\thinc\layers\layernorm.py first seen with mtime 1736881616.8760853
2025-01-14 19:23:27,802 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\markdown_it\parser_block.py first seen with mtime 1726739717.110688
2025-01-14 19:23:27,802 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\rich\_stack.py first seen with mtime 1736774691.2739885
2025-01-14 19:23:27,802 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\pdfminer\pdftypes.py first seen with mtime 1736774700.4713795
2025-01-14 19:23:27,803 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\ao\nn\qat\dynamic\__init__.py first seen with mtime 1729581810.177001
2025-01-14 19:23:27,803 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\cuda\amp\common.py first seen with mtime 1729581810.011686
2025-01-14 19:23:27,803 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\aggregates.py first seen with mtime 1730982227.1744256
2025-01-14 19:23:27,803 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\template\context.py first seen with mtime 1730982227.3539987
2025-01-14 19:23:27,803 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\masked\maskedtensor\unary.py first seen with mtime 1729581801.5450177
2025-01-14 19:23:27,804 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\files\storage\memory.py first seen with mtime 1730982227.098446
2025-01-14 19:23:27,804 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\utils\urls.py first seen with mtime 1730982237.5575788
2025-01-14 19:23:27,805 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\admin\templatetags\admin_urls.py first seen with mtime 1730982225.3431692
2025-01-14 19:23:27,805 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\files\move.py first seen with mtime 1730982227.0927405
2025-01-14 19:23:27,805 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\markdown_it\presets\default.py first seen with mtime 1726739717.1248198
2025-01-14 19:23:27,805 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\utils\convert_parameters.py first seen with mtime 1729581801.4716485
2025-01-14 19:23:27,805 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\schemas\generators.py first seen with mtime 1730982237.024814
2025-01-14 19:23:27,806 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\importlib\metadata\_adapters.py first seen with mtime 1707253818.0
2025-01-14 19:23:27,806 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\markdown_it\rules_inline\link.py first seen with mtime 1726739717.1474707
2025-01-14 19:23:27,806 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\checks\translation.py first seen with mtime 1730982227.0867395
2025-01-14 19:23:27,806 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\email\mime\__init__.py first seen with mtime 1707253818.0
2025-01-14 19:23:27,807 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\template\__init__.py first seen with mtime 1730982227.35182
2025-01-14 19:23:27,807 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\spacy\vectors.cp312-win_amd64.pyd first seen with mtime 1736881622.2178347
2025-01-14 19:23:27,807 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\ao\nn\qat\modules\__init__.py first seen with mtime 1729581810.177001
2025-01-14 19:23:27,807 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\importlib\readers.py first seen with mtime 1707253818.0
2025-01-14 19:23:27,807 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\email\charset.py first seen with mtime 1707253818.0
2025-01-14 19:23:27,808 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\distributions\transformed_distribution.py first seen with mtime 1729581809.8302865
2025-01-14 19:23:27,808 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\corsheaders\checks.py first seen with mtime 1736774219.8483834
2025-01-14 19:23:27,808 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\sql\__init__.py first seen with mtime 1730982227.1962066
2025-01-14 19:23:27,808 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\spacy\pipeline\span_ruler.py first seen with mtime 1736881622.6213613
2025-01-14 19:23:27,809 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\yaml\emitter.py first seen with mtime 1726739513.8018818
2025-01-14 19:23:27,809 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\typer\models.py first seen with mtime 1736774699.828864
2025-01-14 19:23:27,809 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\ao\quantization\observer.py first seen with mtime 1729581810.1281948
2025-01-14 19:23:27,809 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\mdurl\__init__.py first seen with mtime 1726739534.75216
2025-01-14 19:23:27,810 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\fx\passes\net_min_base.py first seen with mtime 1729581809.7845416
2025-01-14 19:23:27,810 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\random\mtrand.cp312-win_amd64.pyd first seen with mtime 1736774682.23709
